,0,1,2,3,4,5,6,7,8
0,1.0,711.79,711.79,711.79,3.28748647775327,11.716938984812938,26.29989182202616,17.48268449964175,41.212998215765886
1,1.0,652.8,652.8,652.8,73.34558823529413,0.0,26.65441176470588,0.0,0.0
2,2.0,157.2,1587.07,872.135,9.958320672831613,32.999478291778225,35.95888251245507,7.157722141640916,13.925596381294177
3,1.0,1001.52,1001.52,1001.52,9.837047687514977,21.926671459381737,32.71028037383177,0.0,35.52600047927151
4,1.0,543.72,543.72,543.72,48.85235047450894,3.2553520194217618,39.17457514897373,0.0,8.717722357095564
5,2.0,143.0,258.9,200.95,27.668574272207014,4.4040806170689235,43.44364269718836,24.483702413535706,0.0
6,2.0,276.87,310.1,293.485,56.22433855222583,26.585685810177694,11.772322265192429,5.4176533724040405,0.0
7,1.0,385.35,385.35,385.35,19.04761904761905,25.314649020371093,5.138186064616581,38.8997015700013,11.599844297391982
8,1.0,4278.34,4278.34,4278.34,8.307895118200049,22.127741133243266,49.776315112870876,6.3108588845206315,13.477189751165172
9,1.0,229.39,229.39,229.39,0.0,50.590697066131916,11.787784994986703,15.780984349797292,21.840533589084092
10,1.0,192.93,192.93,192.93,21.81101954076608,32.65433058622298,29.596226610687808,8.241331052713418,7.697092209609703
11,1.0,192.55,192.55,192.55,0.0,27.655154505323292,30.849130096078937,41.49571539859777,0.0
12,1.0,1137.5,1137.5,1137.5,4.43076923076923,25.86373626373627,9.072527472527472,17.53846153846154,43.09450549450549
13,2.0,348.2,358.25,353.225,7.219194564371151,2.7602802746124993,12.86715266473211,44.29895958666572,32.85441290961851
14,2.0,1867.98,1919.1399999999999,1893.56,25.165297112317543,22.022011449333533,42.200405585246834,6.883858974629797,3.7284268784722956
15,1.0,155.55,155.55,155.55,20.25072324011572,45.51591128254581,9.643201542912246,0.0,24.59016393442623
16,3.0,29.700000000000003,1919.44,1034.7633333333333,11.85424042212551,42.16745213881435,22.781376739930867,9.715587139088166,13.481343560041104
17,1.0,1520.42,1520.42,1520.42,21.587456097657224,27.327975164757106,32.24109127741019,6.642901303587166,12.20057615658831
18,1.0,12.45,12.45,12.45,0.0,0.0,0.0,68.27309236947792,31.726907630522096
19,1.0,744.25,744.25,744.25,10.198186093382601,32.56970104131676,24.669129996640912,6.933154182062479,25.62982868659725
20,3.0,141.38,549.09,404.81,14.253600454534224,26.769760299070345,29.699529820574256,10.91046828553313,18.36664114028804
21,1.0,347.56,347.56,347.56,7.515249165611692,31.936931752790887,43.11198066520889,0.0,17.43583841638854
22,1.0,990.17,990.17,990.17,19.17044547905915,19.799630366502726,24.112021168082247,10.740579900421139,26.177323085934738
